Track Name,Artists,Genres
Mbodiene - Matt Sawyer Remix,Everything Counts; Matt Sawyer,afro house; afro tech; organic house; tribal house
Anatolia,KHAIKHAN; Cafe De Anatolia,afro house; deep house; downtempo; melodic techno; organic house; tribal house
Anitya,Jean du Voyage,
Rust and Tears,Ekorce,downtempo; glitch
Away,Ian Post,
Nikogo Ya Ne Bousya,Boogrov,
Dingi Diingi,Hijazi,
Awakening - AXL Remix - Mixed,Cafe De Anatolia; BuVu; A X L,afro house; deep house; downtempo; latin house; melodic techno; organic house; tribal house
Chichovite,MÖW,downtempo; organic house
Rhetoric,Staunch,glitch
Bust It,Slynk,glitch
Gaunt,Kiasmos,
Kusanagi,ODESZA,chillstep; chillwave
Gamelan Trip,Mr. Ours,electro swing; glitch
Musiki Ukabili - Uone's Reloaded Remix,Desert Dwellers; Uone,downtempo; organic house
Cielo Aya,Savej; Liquid Bloom; Gracia Maria,
Olorum - Vocal Dub,Poranguí; Liquid Bloom; Shaman's Dream; Eric Zang,
The Electrical Biome - Liquid Bloom & PERE Remix,Deya Dova; Liquid Bloom; PERE,downtempo
Pre,Rival Consoles,ambient; electronica; idm
So Young,Sunrom,
No Such Thing As Me,Kyson,
Asmar,Andre x Jad; Cafe De Anatolia,afro house; deep house; downtempo; melodic techno; organic house
De Usuahia a la Quiaca,Gustavo Santaolalla,soundtrack
"Bistro Fada (from the Motion Picture ""Midnight in Paris"")",Stephane Wrembel,french jazz
A Quiet Conversion (feat. Lone Widahl Madsen),Bliss; Lone Widahl Madsen,
Roma,Vicente Amigo Girol; Vicente Amigo,flamenco; flamenco pop
Manastir,Kled Mone,
Girlz Wanna Have Fun,MATTN; Stavros Martina; Kevin D,big room; moombahton
Ecstatic Grounding - Mose Remix,Liquid Bloom; Mose; Ixchel Prisma,
Roots Of The Earth - Mose Remix,Liquid Bloom; Mose; Ixchel Prisma,
Shaman's Dream,AIWAA,organic house; tribal house
Away,Ryan Herr; Yemanjo,downtempo; organic house
Day 3 - Dark Matter Radio Edit,Be Svendsen,downtempo; organic house; tribal house
Once Around,Cubicolor,melodic house; melodic techno
Fume,Maxun,g-house; slap house
Storm,azZza,drift phonk; g-house; slap house
East Vibes,QUATTROTEQUE,
love nwantiti x dumebi - Midé Naike Remix,CKay; Rema; Midé Naike,afro r&b; afrobeat; afrobeats; afropiano; afropop
Gateless,Koelle,deep house; melodic house
City Lights,Aiiso,
Looped,Kiasmos,
NeoPoly,Phoria,
Down The Wall - Original Mix,Cubicolor,melodic house; melodic techno
Isolated Incidents,ishi vu,
Aruna Chandra,Mashti; Deep Dive Corp.; David Devanagari,organic house; sufi
Mantra,Soner Karaca,g-house
Mojave,Kalaha Moon,downtempo; organic house
Chichovite Kone,DJ Kantik,
Clarinex,BAD NINJA,g-house
"Liberation: Moonlight, Introduction",Homayoun Shajarian; Sohrab Pournazeri; Siavash Ensemble,traditional music
Miracle,Space Food,indie dance; melodic house; melodic techno; organic house; progressive house
Ancient Future,Akriza; Activation; Equanimous,
Dumebi - Major Lazer Remix,Major Lazer; Rema,afrobeat; afrobeats; afropiano; afropop; moombahton
Rawa,MAUGLI,downtempo; organic house
Woosi,Baka Beyond,
Oggun's Path,Da Le (Havana),afro house; afro tech; latin house; tribal house
Que Nadie Se Meta Conmigo - Jerry Ropero & Paper Head Remix,Dario Nunez; Niltox; Jerry Ropero; Paper Head,afro house; afro tech; funky house; latin house; tech house; tribal house
Papi (Bhabi),Eden Shalev,afro house; afro tech; psytrance
Al Maagana,ÂMÂDO; MÖW,afro house; downtempo; organic house
Tataouine - Dandara Remix,Pandhora; Youssef Meksi; Cafe De Anatolia; Dandara,afro house; deep house; downtempo; melodic house; melodic techno; organic house; tribal house
Mohan,Synapson,
